Job_ID,Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Error_Rate (%),Task_Type,Projection_Score,Predicted_Execution_Duration (ms),Predicted_Context_Switch_Penalty (ms),Host_Cluster_Suitability_Score,Predicted_Load_Condition,Scheduling_Priority_Score,Resource_Cluster_ID,Load_Rebalancing_Flag,Envy_Freeness_Score,VM_Placement_Diversity_Score,PM_Utilization_Efficiency (%),Affinity_Breaker_Flag,Observed_Delay_Deviation (ms),Adaptive_Model_Update_Flag,Context_Switch_Overhead (%),Thermal_Impact_Score,Energy_Efficiency_Index,Predicted_Host_ID,Actual_Host_ID,CPU_Share (%),Memory_Share (%),Bandwidth_Share (%),VM_Total_Memory_Capacity (MB),Host_Selection_Correct,Envy_Rate (%),Dominant_Resource_Share (%),Memory_Utilization (%)
JOB_15,01-01-2024 00:14,01-01-2024 00:14,24.55,7166,1179,7.11,524,IoT,692,363.99,Medium,Round Robin,Static,2.94,IO-Bound,0.849,1406,47,0.847,Medium,0.166,Cluster_15,No,0.891,0.879,89.76,Yes,-227,No,2.97,0.313,0.928,Host_3,Host_1,33.18,44.75,57.18,8192,0,10.9,57.18,87.48
JOB_16,01-01-2024 00:15,01-01-2024 00:15,24.67,642,4418,8.17,521,Enterprise DB,4735,693.35,Low,ASB-Dynamic-CapsNet,Dynamic,3.19,IO-Bound,1.081,4189,21,0.809,Medium,0.245,Cluster_16,No,0.898,0.591,78.46,Yes,229,No,0.85,0.654,1.153,Host_3,Host_3,82.19,71.17,20.06,32768,1,10.2,82.19,1.96
JOB_17,01-01-2024 00:16,01-01-2024 00:16,34.34,4787,278,6.8,79,IoT,3968,476.74,Medium,FCFS,Dynamic,3.52,Delay-Sensitive,1.218,141,32,0.899,High,0.07,Cluster_17,No,0.715,0.982,88.56,No,137,Yes,4.7,0.891,1.427,Host_3,Host_2,19.99,93.19,42.45,16384,0,28.5,93.19,29.22
JOB_18,01-01-2024 00:17,01-01-2024 00:17,51.98,1910,2947,1.94,681,Cloud,1636,335.77,Low,FCFS,Dynamic,0.93,Delay-Sensitive,1.308,3021,52,0.887,Low,0.17,Cluster_18,Yes,0.711,0.85,98.69,No,-74,No,1.64,0.191,1.179,Host_1,Host_3,96,19.07,96.72,32768,0,28.9,96.72,5.83
JOB_19,01-01-2024 00:18,01-01-2024 00:18,44.56,4973,2060,1.48,907,Enterprise DB,2459,272.49,Low,ASB-Dynamic-CapsNet,Static,3.77,Delay-Sensitive,0.679,1761,99,0.601,Low,0.019,Cluster_19,Yes,0.754,0.599,77.81,Yes,299,Yes,2.44,0.128,1.327,Host_2,Host_1,72.91,41.96,57.05,32768,0,24.6,72.91,15.18
JOB_20,01-01-2024 00:19,01-01-2024 00:19,33.3,7224,1573,5.94,97,Cloud,3899,926.39,Low,FCFS,Static,1.5,Delay-Sensitive,0.535,1538,43,0.682,High,0.207,Cluster_20,Yes,0.851,0.717,96.51,Yes,35,No,1.42,0.295,1.208,Host_3,Host_1,37.8,76.98,62.38,8192,0,14.9,76.98,88.18
JOB_21,01-01-2024 00:20,01-01-2024 00:20,58.95,1034,4988,4.31,886,Enterprise DB,104,298.08,Medium,Round Robin,Static,2.12,IO-Bound,1.075,4818,108,0.916,Medium,0.558,Cluster_21,Yes,0.887,0.74,85.37,No,170,Yes,3.97,0.162,0.834,Host_2,Host_4,88.26,78.19,98.44,16384,0,11.3,98.44,6.31
JOB_22,01-01-2024 00:21,01-01-2024 00:21,21.16,2216,1312,4.58,580,Enterprise DB,891,442.03,High,ASB-Dynamic-CapsNet,Static,0.07,Delay-Sensitive,1.474,1451,109,0.717,Medium,0.929,Cluster_22,Yes,0.782,0.753,95.35,No,-139,No,3.36,0.922,1.494,Host_4,Host_1,64.79,27.1,89.25,16384,0,21.8,89.25,13.53
JOB_23,01-01-2024 00:22,01-01-2024 00:22,33.37,3864,909,9.69,773,Cloud,4637,356.84,Medium,Round Robin,Dynamic,4.22,Delay-Sensitive,0.52,1038,62,0.714,High,0.797,Cluster_23,No,0.887,0.751,75.98,No,-129,Yes,3.99,0.977,0.967,Host_4,Host_2,70.12,73.69,15.6,16384,0,11.3,73.69,23.58
JOB_24,01-01-2024 00:23,01-01-2024 00:23,39.31,1532,519,7.38,228,Social Media,1034,95.32,Low,Priority-Based,Dynamic,4.77,IO-Bound,1.437,228,32,0.739,High,0.593,Cluster_24,No,0.806,0.734,80.33,Yes,291,Yes,0.54,0.429,1.027,Host_2,Host_1,25.56,92.6,46.47,8192,0,19.4,92.6,18.7
JOB_25,01-01-2024 00:24,01-01-2024 00:24,46.49,3842,3759,4.41,722,Cloud,2670,194.08,Medium,ASB-Dynamic-CapsNet,Dynamic,0.3,Memory-Intensive,0.684,3943,93,0.699,High,0.767,Cluster_25,No,0.98,0.562,91.95,Yes,-184,Yes,3.92,0.914,1.134,Host_1,Host_3,77.71,41.34,28.23,32768,0,2,77.71,11.72
JOB_26,01-01-2024 00:25,01-01-2024 00:25,72.81,1910,3916,0.68,598,Enterprise DB,2956,197.61,High,Round Robin,Static,3.18,Delay-Sensitive,0.991,3986,97,0.865,Low,0.722,Cluster_26,Yes,0.724,0.775,75.93,Yes,-70,No,4.85,0.636,1.387,Host_4,Host_3,61.62,63.65,38.73,16384,0,27.6,63.65,11.66
JOB_27,01-01-2024 00:26,01-01-2024 00:26,25.97,6736,1378,0.82,776,Cloud,2044,696.71,Medium,Priority-Based,Static,4.8,IO-Bound,1.483,1340,36,0.752,Low,0.081,Cluster_27,No,0.806,0.992,74.4,No,38,No,2.64,0.157,1.102,Host_4,Host_3,87.9,95.38,83.18,32768,0,19.4,95.38,20.56
JOB_28,01-01-2024 00:27,01-01-2024 00:27,51.14,6585,2623,7.01,768,Cloud,1982,412.52,High,Round Robin,Static,3.03,Delay-Sensitive,0.642,2420,70,0.719,Medium,0.626,Cluster_28,No,0.806,0.948,73.74,No,203,Yes,4.84,0.357,1.4,Host_4,Host_2,58.05,82.33,93.67,8192,0,19.4,93.67,80.38
JOB_29,01-01-2024 00:28,01-01-2024 00:28,57.39,7172,1540,8.46,279,Enterprise DB,2322,784.15,High,Round Robin,Static,3.99,Memory-Intensive,0.918,1628,27,0.899,Medium,0.095,Cluster_29,No,0.725,0.52,87.98,No,-88,No,4.58,0.479,1.077,Host_1,Host_4,53.8,43.03,53.37,16384,0,27.5,53.8,43.77
JOB_30,01-01-2024 00:29,01-01-2024 00:29,13.72,5773,1440,7.22,828,IoT,152,711.86,Low,FCFS,Static,0.59,IO-Bound,1.01,1312,24,0.703,High,0.778,Cluster_30,Yes,0.783,0.741,90.6,Yes,128,No,2.09,0.746,1.44,Host_3,Host_1,16.95,57.22,41.77,8192,0,21.7,57.22,70.47
JOB_31,01-01-2024 00:30,01-01-2024 00:30,58.6,5000,2321,4.36,660,Enterprise DB,1019,200.13,High,Priority-Based,Dynamic,1.22,Delay-Sensitive,1.395,2224,56,0.94,High,0.608,Cluster_31,Yes,0.972,0.876,79.43,No,97,No,1.2,0.792,0.977,Host_2,Host_2,25.42,78.33,62.39,32768,1,2.8,78.33,15.26
JOB_32,01-01-2024 00:31,01-01-2024 00:31,23.64,7483,2492,0.8,87,Cloud,1121,567.29,Medium,FCFS,Static,1.73,Delay-Sensitive,1.192,2403,104,0.715,Low,0.664,Cluster_32,Yes,0.833,0.857,76.8,Yes,89,No,3.97,0.692,1.293,Host_2,Host_4,83.81,10.8,54.76,16384,0,16.7,83.81,45.67
JOB_33,01-01-2024 00:32,01-01-2024 00:32,15.2,1672,1461,9.69,601,Enterprise DB,786,745.48,Medium,Priority-Based,Dynamic,4.91,Memory-Intensive,0.759,1221,67,0.726,Low,0.56,Cluster_33,No,0.849,0.608,70.71,No,240,Yes,2.75,0.476,1.13,Host_3,Host_3,11.49,20.1,96.65,32768,1,15.1,96.65,5.1
JOB_34,01-01-2024 00:33,01-01-2024 00:33,85.91,1388,691,9.87,19,Enterprise DB,1415,636.71,Low,Priority-Based,Static,3.91,Memory-Intensive,1.477,527,64,0.639,Medium,0.431,Cluster_34,Yes,0.799,0.684,96.22,No,164,No,0.65,0.559,1.475,Host_1,Host_2,93.27,99.49,53.24,8192,0,20.1,99.49,16.94
JOB_35,01-01-2024 00:34,01-01-2024 00:34,87.25,3838,626,5.72,477,IoT,3680,604.02,Medium,FCFS,Dynamic,4.43,Memory-Intensive,0.638,344,26,0.928,High,0.979,Cluster_35,Yes,0.926,0.899,75.76,Yes,282,Yes,3.47,0.795,1.475,Host_1,Host_2,40.58,89.86,69.42,32768,0,7.4,89.86,11.71
JOB_36,01-01-2024 00:35,01-01-2024 00:35,74.67,5017,2603,1.17,345,Social Media,277,742.21,Low,FCFS,Static,2.44,IO-Bound,0.572,2709,95,0.713,Low,0.979,Cluster_36,Yes,0.776,0.679,92.53,Yes,-106,Yes,1.9,0.839,0.932,Host_2,Host_2,36.4,43.36,83.85,16384,1,22.4,83.85,30.62
JOB_37,01-01-2024 00:36,01-01-2024 00:36,34.37,2141,1392,5.64,645,Cloud,3620,66.21,Medium,FCFS,Static,3.58,Memory-Intensive,0.667,1101,47,0.94,Medium,0.082,Cluster_37,Yes,0.978,0.509,77.05,No,291,No,1.92,0.525,0.803,Host_4,Host_3,99.43,40.02,28.75,8192,0,2.2,99.43,26.14
JOB_38,01-01-2024 00:37,01-01-2024 00:37,17.81,971,1754,8.98,195,Cloud,494,734.11,Medium,Priority-Based,Dynamic,3.66,Memory-Intensive,1.119,1878,34,0.742,High,0.876,Cluster_38,No,0.994,0.5,75.94,Yes,-124,No,3.47,0.103,1.461,Host_2,Host_1,54.97,63.32,38.31,8192,0,0.6,63.32,11.85
JOB_39,01-01-2024 00:38,01-01-2024 00:38,64.74,3440,287,6.96,555,IoT,1669,279.93,High,Priority-Based,Static,2.84,Memory-Intensive,1.394,375,95,0.817,Medium,0.716,Cluster_39,No,0.726,0.87,70.79,No,-88,Yes,3.45,0.73,0.913,Host_1,Host_3,89.98,75.01,93.07,16384,0,27.4,93.07,21
JOB_40,01-01-2024 00:39,01-01-2024 00:39,45.21,1046,2858,7.34,130,Enterprise DB,4743,576.15,High,Priority-Based,Static,4.39,IO-Bound,1.437,3083,105,0.958,Low,0.502,Cluster_40,Yes,0.96,0.762,80.38,Yes,-225,No,4.28,0.233,1.451,Host_3,Host_1,80.92,40.21,57.15,16384,0,4,80.92,6.38
JOB_41,01-01-2024 00:40,01-01-2024 00:40,19.76,5226,628,1.31,601,Social Media,2254,249.88,High,Priority-Based,Static,0.79,IO-Bound,0.711,834,79,0.636,Low,0.183,Cluster_41,Yes,0.717,0.879,73.63,Yes,-206,No,1.81,0.53,1.161,Host_1,Host_1,70.87,83.33,62.35,32768,1,28.3,83.33,15.95
JOB_42,01-01-2024 00:41,01-01-2024 00:41,49.61,4097,533,1.51,727,Cloud,2753,840.43,Medium,Priority-Based,Dynamic,0.29,IO-Bound,0.675,285,113,0.954,Medium,0.235,Cluster_42,Yes,0.738,0.5,83.48,No,248,Yes,1.29,0.542,1.334,Host_4,Host_4,83.79,18.1,12.91,16384,1,26.2,83.79,25.01
JOB_43,01-01-2024 00:42,01-01-2024 00:42,12.75,5633,3612,1.71,574,Social Media,3100,485.75,Low,Priority-Based,Static,1.52,Delay-Sensitive,0.681,3722,63,0.632,High,0.888,Cluster_43,Yes,0.864,0.509,77.68,Yes,-110,No,3.28,0.382,0.934,Host_4,Host_1,78.85,43.08,15.22,8192,0,13.6,78.85,68.76
JOB_44,01-01-2024 00:43,01-01-2024 00:43,82.75,3325,1904,9.09,677,Social Media,3552,646.51,Low,Round Robin,Static,0.44,Memory-Intensive,0.619,1852,59,0.92,High,0.12,Cluster_44,No,0.964,0.762,79.47,No,52,Yes,3.14,0.858,0.927,Host_1,Host_1,60.9,42.4,58.85,32768,1,3.6,60.9,10.15
JOB_45,01-01-2024 00:44,01-01-2024 00:44,30.7,4223,402,5.5,283,Enterprise DB,3676,796.14,Low,FCFS,Static,0.3,CPU-Bound,1.192,153,39,0.918,Low,0.15,Cluster_45,No,0.761,0.782,80.31,Yes,249,Yes,1.25,0.32,1.173,Host_3,Host_1,59.4,79.18,64.43,8192,0,23.9,79.18,51.55
JOB_46,01-01-2024 00:45,01-01-2024 00:45,63,6425,4282,8.02,419,Enterprise DB,1231,896.36,High,Priority-Based,Static,2.1,IO-Bound,0.65,4267,118,0.989,Low,0.011,Cluster_46,Yes,0.918,0.509,85.84,Yes,15,Yes,4.42,0.669,1.075,Host_4,Host_1,56.24,54.29,72.59,32768,0,8.2,72.59,19.61
JOB_47,01-01-2024 00:46,01-01-2024 00:46,34.94,863,537,1.6,367,Enterprise DB,3306,734.74,Medium,Round Robin,Static,1,CPU-Bound,1.404,722,43,0.639,High,0.739,Cluster_47,No,0.947,0.595,82.78,Yes,-185,No,1.14,0.916,0.859,Host_2,Host_2,60.15,32.47,34.83,32768,1,5.3,60.15,2.63
JOB_48,01-01-2024 00:47,01-01-2024 00:47,51.61,2666,2688,9.31,656,Cloud,847,157.28,High,ASB-Dynamic-CapsNet,Dynamic,3.95,IO-Bound,0.684,2543,100,0.616,Medium,0.169,Cluster_48,No,0.931,0.843,91.24,Yes,145,No,4.75,0.79,1.1,Host_4,Host_2,16.11,91.07,65.07,8192,0,6.9,91.07,32.54
JOB_49,01-01-2024 00:48,01-01-2024 00:48,53.74,3809,932,8.3,950,Social Media,884,855.99,Medium,Round Robin,Dynamic,2.9,Delay-Sensitive,1.167,722,55,0.825,Medium,0.061,Cluster_49,No,0.753,0.992,71.4,No,210,Yes,0.98,0.723,1.095,Host_3,Host_4,80.52,71.16,97.39,8192,0,24.7,97.39,46.5
JOB_50,01-01-2024 00:49,01-01-2024 00:49,24.79,1045,896,2.64,107,Social Media,3049,622.39,Medium,FCFS,Dynamic,1.8,IO-Bound,0.635,610,62,0.609,Medium,0.207,Cluster_50,No,0.932,0.713,81.04,No,286,Yes,2.86,0.49,1.49,Host_1,Host_3,13.95,33.3,34.1,32768,0,6.8,34.1,3.19
JOB_51,01-01-2024 00:50,01-01-2024 00:50,87.57,3740,659,8.8,250,Cloud,2082,613.36,Medium,ASB-Dynamic-CapsNet,Dynamic,1.43,CPU-Bound,1.261,787,50,0.969,Medium,0.857,Cluster_51,Yes,0.917,0.674,79.87,No,-128,Yes,3.08,0.205,1.121,Host_2,Host_2,20.38,80.56,39.52,32768,1,8.3,80.56,11.41
JOB_52,01-01-2024 00:51,01-01-2024 00:51,72.01,7165,3688,3,566,IoT,4502,922.13,High,Priority-Based,Static,2.82,Memory-Intensive,1.158,3580,55,0.852,Low,0.093,Cluster_52,No,0.914,0.996,85.02,Yes,108,Yes,1.66,0.617,1.047,Host_3,Host_1,71.73,64.5,70.39,8192,0,8.6,71.73,87.46
JOB_53,01-01-2024 00:52,01-01-2024 00:52,85.16,5229,861,2.45,720,Enterprise DB,2814,256.34,Medium,FCFS,Static,2.17,CPU-Bound,1.07,662,61,0.61,High,0.358,Cluster_53,No,0.974,0.658,76.55,No,199,Yes,1.76,0.153,0.861,Host_3,Host_4,21.23,57.25,90.34,8192,0,2.6,90.34,63.83
JOB_54,01-01-2024 00:53,01-01-2024 00:53,81.59,2436,3674,3.01,812,Cloud,2459,247.19,High,ASB-Dynamic-CapsNet,Dynamic,0.28,CPU-Bound,1.064,3695,100,0.635,Low,0.484,Cluster_54,No,0.742,0.646,95.98,No,-21,No,4.35,0.678,1.285,Host_3,Host_1,17.42,57.71,39.98,16384,0,25.8,57.71,14.87
JOB_55,01-01-2024 00:54,01-01-2024 00:54,57.83,6276,3885,9.14,957,Enterprise DB,3734,518.06,High,Round Robin,Dynamic,3.33,CPU-Bound,1.139,4005,44,0.605,Medium,0.75,Cluster_55,Yes,0.851,0.508,70.25,No,-120,No,1.31,0.642,0.888,Host_1,Host_3,30.41,95.69,58.48,8192,0,14.9,95.69,76.61
JOB_56,01-01-2024 00:55,01-01-2024 00:55,83.75,1462,2614,9.2,123,Social Media,3325,753.35,Medium,ASB-Dynamic-CapsNet,Dynamic,2.5,IO-Bound,0.761,2366,49,0.6,Medium,0.765,Cluster_56,Yes,0.78,0.628,81.98,No,248,No,3.05,0.656,1.368,Host_1,Host_3,72.8,73.87,43.71,8192,0,22,73.87,17.85
JOB_57,01-01-2024 00:56,01-01-2024 00:56,17.08,3505,784,3.63,496,Cloud,57,452.77,Medium,FCFS,Dynamic,1.38,Memory-Intensive,0.566,644,22,0.906,High,0.568,Cluster_57,No,0.792,0.745,96.41,No,140,Yes,4.73,0.743,0.895,Host_3,Host_1,87.57,17.7,93.2,8192,0,20.8,93.2,42.79
JOB_58,01-01-2024 00:57,01-01-2024 00:57,25.68,4306,4333,7.2,798,IoT,2569,637.55,Medium,ASB-Dynamic-CapsNet,Dynamic,1.45,IO-Bound,1.316,4043,33,0.652,Low,0.689,Cluster_58,No,0.919,0.944,77.67,Yes,290,No,1.18,0.895,0.905,Host_2,Host_4,37.79,81,77.52,16384,0,8.1,81,26.28
JOB_59,01-01-2024 00:58,01-01-2024 00:58,13.62,1382,677,6.92,250,Enterprise DB,2269,458,High,Round Robin,Static,2.26,IO-Bound,0.64,974,109,0.716,High,0.455,Cluster_59,Yes,0.815,0.95,75.84,Yes,-297,Yes,0.72,0.33,1.099,Host_1,Host_1,91.6,18.04,97.15,8192,1,18.5,97.15,16.87
JOB_60,01-01-2024 00:59,01-01-2024 00:59,36.03,4340,4905,8.16,165,Social Media,3924,614.28,Medium,ASB-Dynamic-CapsNet,Dynamic,4.14,Delay-Sensitive,0.853,4786,26,0.973,Low,0.638,Cluster_60,No,0.729,0.683,81.6,No,119,Yes,1.98,0.836,0.846,Host_2,Host_4,81.67,27.38,55.55,8192,0,27.1,81.67,52.98
JOB_61,01-01-2024 01:00,01-01-2024 01:00,41.09,7423,327,3.32,361,Social Media,3778,824.04,Medium,Round Robin,Static,2.12,CPU-Bound,0.615,577,72,0.832,Low,0.786,Cluster_61,No,0.72,0.587,92.99,Yes,-250,No,0.52,0.102,1.12,Host_3,Host_4,20.69,21.32,36.39,32768,0,28,36.39,22.65
JOB_62,01-01-2024 01:01,01-01-2024 01:01,31.71,1370,2428,5.35,53,IoT,3379,188.67,Low,ASB-Dynamic-CapsNet,Static,4.2,IO-Bound,0.561,2211,113,0.619,Low,0.028,Cluster_62,No,0.881,0.585,76.54,No,217,Yes,2.04,0.559,1.459,Host_3,Host_3,93.18,10.23,32.5,16384,1,11.9,93.18,8.36
JOB_63,01-01-2024 01:02,01-01-2024 01:02,76.3,5111,2831,6.84,601,IoT,3421,698.42,Low,Round Robin,Dynamic,2.12,Delay-Sensitive,1.343,2827,64,0.992,Low,0.921,Cluster_63,No,0.7,0.859,79.22,No,4,Yes,3.92,0.557,1.39,Host_4,Host_2,36.32,54.53,69.92,32768,0,30,69.92,15.6
JOB_64,01-01-2024 01:03,01-01-2024 01:03,38.54,3485,927,0.75,321,Enterprise DB,663,789.55,Low,Round Robin,Static,4.15,CPU-Bound,0.869,916,53,0.761,Low,0.165,Cluster_64,No,0.818,0.954,75.87,Yes,11,Yes,1.65,0.697,1.45,Host_1,Host_3,75.15,45.22,36.15,32768,0,18.2,75.15,10.64
JOB_65,01-01-2024 01:04,01-01-2024 01:04,32.47,6016,530,4.08,147,Social Media,738,452.64,Medium,Round Robin,Static,4.66,Memory-Intensive,1.303,264,39,0.797,High,0.023,Cluster_65,No,0.899,0.818,89.4,No,266,Yes,3.87,0.117,1.187,Host_4,Host_3,93.47,79.62,89.83,8192,0,10.1,93.47,73.44
JOB_66,01-01-2024 01:05,01-01-2024 01:05,53.42,1365,1163,7.11,672,IoT,947,330,High,Priority-Based,Static,0.1,CPU-Bound,1.05,1370,32,0.837,Low,0.274,Cluster_66,Yes,0.899,0.897,78.95,No,-207,Yes,3.48,0.74,0.935,Host_4,Host_3,17.9,48.95,16.61,16384,0,10.1,48.95,8.33
JOB_67,01-01-2024 01:06,01-01-2024 01:06,21.27,6749,1809,2.9,953,Cloud,159,23.41,Low,Round Robin,Static,0.31,Memory-Intensive,0.723,2024,92,0.748,Low,0.574,Cluster_67,Yes,0.992,0.712,81.6,Yes,-215,Yes,0.79,0.679,1.388,Host_4,Host_2,60.66,88.84,41.28,16384,0,0.8,88.84,41.19
JOB_68,01-01-2024 01:07,01-01-2024 01:07,74.18,5704,1334,9.6,445,IoT,4855,799.13,High,FCFS,Dynamic,0.67,CPU-Bound,1.43,1117,30,0.89,Low,0.238,Cluster_68,Yes,0.847,0.61,82.89,Yes,217,Yes,1.57,0.509,1.191,Host_3,Host_3,24.37,30.45,58.77,16384,1,15.3,58.77,34.81
JOB_69,01-01-2024 01:08,01-01-2024 01:08,15.96,4809,401,0.79,763,Cloud,3062,334.66,Low,Round Robin,Static,0.61,Memory-Intensive,0.646,404,52,0.723,Low,0.337,Cluster_69,No,0.946,0.648,72.73,Yes,-3,Yes,2.86,0.168,1.155,Host_1,Host_1,93.67,58.6,35.5,8192,1,5.4,93.67,58.7
JOB_70,01-01-2024 01:09,01-01-2024 01:09,88.95,7788,1520,9.6,152,Social Media,2968,363.74,Low,Priority-Based,Static,2.27,Memory-Intensive,1.184,1555,79,0.954,Low,0.705,Cluster_70,No,0.815,0.771,88.81,No,-35,No,3.8,0.579,1.123,Host_1,Host_3,90.05,73.88,34.74,8192,0,18.5,90.05,95.07
